run_number,world,procedure,calls,inclusive_time,exclusive_time
1,2,DISPERSE,1724,68999400,2057100
2,4,DISPERSE,3352,91468000,2306600
3,6,DISPERSE,5070,119340200,3099000
4,8,DISPERSE,6590,131763700,4421400
5,10,DISPERSE,8473,157364300,4867800
6,12,DISPERSE,9939,175106600,5596900
7,14,DISPERSE,11576,203554500,5422500
8,16,DISPERSE,13419,681669700,8166100
9,18,DISPERSE,15046,248733900,6285800
10,20,DISPERSE,16539,239716100,5812800
11,22,DISPERSE,18322,204405500,3747100
12,24,DISPERSE,19817,234556700,4017100
13,26,DISPERSE,21298,577729800,3914200
14,28,DISPERSE,23077,218665800,3924900
15,30,DISPERSE,24651,215911100,4000200
1,2,GET-CROWN-WIDTH-FROM-DBH,1724,1718200,1718200
2,4,GET-CROWN-WIDTH-FROM-DBH,3352,2586200,2586200
3,6,GET-CROWN-WIDTH-FROM-DBH,5070,3350800,3350800
4,8,GET-CROWN-WIDTH-FROM-DBH,6590,5123700,5123700
5,10,GET-CROWN-WIDTH-FROM-DBH,8473,6571900,6571900
6,12,GET-CROWN-WIDTH-FROM-DBH,9939,5517000,5517000
7,14,GET-CROWN-WIDTH-FROM-DBH,11576,5879000,5879000
8,16,GET-CROWN-WIDTH-FROM-DBH,13419,7331500,7331500
9,18,GET-CROWN-WIDTH-FROM-DBH,15046,9085800,9085800
10,20,GET-CROWN-WIDTH-FROM-DBH,16539,6314200,6314200
11,22,GET-CROWN-WIDTH-FROM-DBH,18322,4680300,4680300
12,24,GET-CROWN-WIDTH-FROM-DBH,19817,4843300,4843300
13,26,GET-CROWN-WIDTH-FROM-DBH,21298,4540700,4540700
14,28,GET-CROWN-WIDTH-FROM-DBH,23077,4912300,4912300
15,30,GET-CROWN-WIDTH-FROM-DBH,24651,5245400,5245400
1,2,GET-LIGHT-ENV,2592,1528100,1528100
2,4,GET-LIGHT-ENV,5202,2544700,2544700
3,6,GET-LIGHT-ENV,7688,3148300,3148300
4,8,GET-LIGHT-ENV,10082,4151400,4151400
5,10,GET-LIGHT-ENV,12800,10817600,10817600
6,12,GET-LIGHT-ENV,15138,5721900,5721900
7,14,GET-LIGHT-ENV,17672,5845300,5845300
8,16,GET-LIGHT-ENV,20402,5464000,5464000
9,18,GET-LIGHT-ENV,22898,5992700,5992700
10,20,GET-LIGHT-ENV,25088,5041900,5041900
11,22,GET-LIGHT-ENV,27848,3423300,3423300
12,24,GET-LIGHT-ENV,30258,3109500,3109500
13,26,GET-LIGHT-ENV,32768,2777600,2777600
14,28,GET-LIGHT-ENV,35378,2997300,2997300
15,30,GET-LIGHT-ENV,37538,3536600,3536600
1,2,GET-NHB-HEIGHT,5184,107920200,107920200
2,4,GET-NHB-HEIGHT,10404,288035300,288035300
3,6,GET-NHB-HEIGHT,15376,485201500,485201500
4,8,GET-NHB-HEIGHT,20164,713106600,713106600
5,10,GET-NHB-HEIGHT,25600,993664800,993664800
6,12,GET-NHB-HEIGHT,30276,1231712800,1231712800
7,14,GET-NHB-HEIGHT,35344,1450281400,1450281400
8,16,GET-NHB-HEIGHT,40804,1566685400,1566685400
9,18,GET-NHB-HEIGHT,45796,1697542200,1697542200
10,20,GET-NHB-HEIGHT,50176,1903588600,1903588600
11,22,GET-NHB-HEIGHT,55696,1427379600,1427379600
12,24,GET-NHB-HEIGHT,60516,1442762100,1442762100
13,26,GET-NHB-HEIGHT,65536,1451631200,1451631200
14,28,GET-NHB-HEIGHT,70756,1492948500,1492948500
15,30,GET-NHB-HEIGHT,75076,1835815100,1835815100
1,2,LDD-WITHIN-GRID,1724,30255200,30255200
2,4,LDD-WITHIN-GRID,3352,23076200,23076200
3,6,LDD-WITHIN-GRID,5070,35546300,35546300
4,8,LDD-WITHIN-GRID,6590,36817900,36817900
5,10,LDD-WITHIN-GRID,8473,45998600,45998600
6,12,LDD-WITHIN-GRID,9939,51940000,51940000
7,14,LDD-WITHIN-GRID,11576,50364500,50364500
8,16,LDD-WITHIN-GRID,13419,512132400,512132400
9,18,LDD-WITHIN-GRID,15046,61258000,61258000
10,20,LDD-WITHIN-GRID,16539,57212900,57212900
11,22,LDD-WITHIN-GRID,18322,44215100,44215100
12,24,LDD-WITHIN-GRID,19817,63381900,63381900
13,26,LDD-WITHIN-GRID,21298,421534000,421534000
14,28,LDD-WITHIN-GRID,23077,61356500,61356500
15,30,LDD-WITHIN-GRID,24651,39271100,39271100
1,2,UPDATE-ABUNDANCES,2,11449300,338100
