run_number,world,procedure,calls,inclusive_time,exclusive_time
2,2,GET-NHB-HEIGHT,19440,441258900,441258900
1,2,GET-NHB-HEIGHT,19440,400394000,400394000
3,4,GET-NHB-HEIGHT,39015,765609700,765609700
4,4,GET-NHB-HEIGHT,39015,732631100,732631100
5,6,GET-NHB-HEIGHT,57660,1204356400,1204356400
6,6,GET-NHB-HEIGHT,57660,1258547100,1258547100
8,8,GET-NHB-HEIGHT,75615,1711938400,1711938400
7,8,GET-NHB-HEIGHT,75615,1709428600,1709428600
9,10,GET-NHB-HEIGHT,96000,2341656800,2341656800
10,10,GET-NHB-HEIGHT,96000,2358729700,2358729700
12,12,GET-NHB-HEIGHT,113535,3320047100,3320047100
11,12,GET-NHB-HEIGHT,113535,3445845700,3445845700
13,14,GET-NHB-HEIGHT,132540,4423465400,4423465400
14,14,GET-NHB-HEIGHT,132540,4775464400,4775464400
15,16,GET-NHB-HEIGHT,153015,6039833200,6039833200
16,16,GET-NHB-HEIGHT,153015,6507340000,6507340000
17,18,GET-NHB-HEIGHT,171735,7530958200,7530958200
18,18,GET-NHB-HEIGHT,171735,7051630500,7051630500
19,20,GET-NHB-HEIGHT,188160,7954692200,7954692200
20,20,GET-NHB-HEIGHT,188160,8316245800,8316245800
21,22,GET-NHB-HEIGHT,208860,10532482900,10532482900
22,22,GET-NHB-HEIGHT,208860,10103444700,10103444700
23,24,GET-NHB-HEIGHT,226935,11757328900,11757328900
24,24,GET-NHB-HEIGHT,226935,11077762100,11077762100
25,26,GET-NHB-HEIGHT,245760,13444515500,13444515500
26,26,GET-NHB-HEIGHT,245760,14482437700,14482437700
28,28,GET-NHB-HEIGHT,265335,14758678100,14758678100
27,28,GET-NHB-HEIGHT,265335,15603944600,15603944600
29,30,GET-NHB-HEIGHT,281535,16491658100,16491658100
30,30,GET-NHB-HEIGHT,281535,16381173900,16381173900
31,32,GET-NHB-HEIGHT,302460,18877430800,18877430800
32,32,GET-NHB-HEIGHT,302460,18635162000,18635162000
33,34,GET-NHB-HEIGHT,319740,24681018900,24681018900
34,34,GET-NHB-HEIGHT,319740,24210649900,24210649900
35,36,GET-NHB-HEIGHT,342015,38867288500,38867288500
36,36,GET-NHB-HEIGHT,342015,24679229700,24679229700
37,38,GET-NHB-HEIGHT,360375,27846259700,27846259700
38,38,GET-NHB-HEIGHT,360375,45934294600,45934294600
40,40,GET-NHB-HEIGHT,379215,75189457600,75189457600
39,40,GET-NHB-HEIGHT,379215,61874289000,61874289000
2,2,GET-AGE-FROM-HGT,3881,80986200,80986200
1,2,GET-AGE-FROM-HGT,3914,101037900,101037900
3,4,GET-AGE-FROM-HGT,7906,134413500,134413500
4,4,GET-AGE-FROM-HGT,7785,145024500,145024500
5,6,GET-AGE-FROM-HGT,11594,352136800,352136800
6,6,GET-AGE-FROM-HGT,11467,191727600,191727600
8,8,GET-AGE-FROM-HGT,15103,240649700,240649700
7,8,GET-AGE-FROM-HGT,15256,255578400,255578400
9,10,GET-AGE-FROM-HGT,19113,321627400,321627400
10,10,GET-AGE-FROM-HGT,19169,297504600,297504600
12,12,GET-AGE-FROM-HGT,22816,322761900,322761900
11,12,GET-AGE-FROM-HGT,22955,353180200,353180200
13,14,GET-AGE-FROM-HGT,26376,441263700,441263700
14,14,GET-AGE-FROM-HGT,26393,680004100,680004100
15,16,GET-AGE-FROM-HGT,30834,486618800,486618800
16,16,GET-AGE-FROM-HGT,30798,533586100,533586100
17,18,GET-AGE-FROM-HGT,34342,577568500,577568500
18,18,GET-AGE-FROM-HGT,34260,771584200,771584200
19,20,GET-AGE-FROM-HGT,37452,617737600,617737600
20,20,GET-AGE-FROM-HGT,37558,659014000,659014000
21,22,GET-AGE-FROM-HGT,41911,729178700,729178700
22,22,GET-AGE-FROM-HGT,41858,696638500,696638500
23,24,GET-AGE-FROM-HGT,45307,852470300,852470300
24,24,GET-AGE-FROM-HGT,45144,787099600,787099600
25,26,GET-AGE-FROM-HGT,49164,1078461800,1078461800
26,26,GET-AGE-FROM-HGT,49318,986426300,986426300
28,28,GET-AGE-FROM-HGT,53138,1790367800,1790367800
27,28,GET-AGE-FROM-HGT,52768,1024495900,1024495900
29,30,GET-AGE-FROM-HGT,56549,983323300,983323300
30,30,GET-AGE-FROM-HGT,56122,1319912800,1319912800
31,32,GET-AGE-FROM-HGT,60892,1653567000,1653567000
32,32,GET-AGE-FROM-HGT,60568,1722627600,1722627600
33,34,GET-AGE-FROM-HGT,64426,1189111600,1189111600
34,34,GET-AGE-FROM-HGT,63652,2011695100,2011695100
35,36,GET-AGE-FROM-HGT,68538,1996057300,1996057300
36,36,GET-AGE-FROM-HGT,68704,2757024600,2757024600
37,38,GET-AGE-FROM-HGT,71905,2873146300,2873146300
38,38,GET-AGE-FROM-HGT,71976,2874465800,2874465800
40,40,GET-AGE-FROM-HGT,76004,2804038300,2804038300
39,40,GET-AGE-FROM-HGT,75613,3905863800,3905863800
2,2,UPDATE-ABUNDANCES,15,31513600,7796000
1,2,UPDATE-ABUNDANCES,15,24933700,4860500
3,4,UPDATE-ABUNDANCES,15,40148800,10484000
4,4,UPDATE-ABUNDANCES,15,39456000,5020200
5,6,UPDATE-ABUNDANCES,15,35741100,7998300
6,6,UPDATE-ABUNDANCES,15,39670400,6903200
8,8,UPDATE-ABUNDANCES,15,217232200,16872300
7,8,UPDATE-ABUNDANCES,15,70268000,23858700
9,10,UPDATE-ABUNDANCES,15,61589500,14117400
10,10,UPDATE-ABUNDANCES,15,65039100,18849700
12,12,UPDATE-ABUNDANCES,15,89716100,18278800
11,12,UPDATE-ABUNDANCES,15,78645900,20303400
13,14,UPDATE-ABUNDANCES,15,88568100,14851600
14,14,UPDATE-ABUNDANCES,15,81679800,16292800
15,16,UPDATE-ABUNDANCES,15,92390900,16449300
16,16,UPDATE-ABUNDANCES,15,102552300,16830900
17,18,UPDATE-ABUNDANCES,15,99749400,18579400
18,18,UPDATE-ABUNDANCES,15,110093700,19534400
19,20,UPDATE-ABUNDANCES,15,121944900,20092400
20,20,UPDATE-ABUNDANCES,15,127351600,19731200
21,22,UPDATE-ABUNDANCES,15,147822800,34823700
22,22,UPDATE-ABUNDANCES,15,151986700,30138100
23,24,UPDATE-ABUNDANCES,15,158484200,29332600
24,24,UPDATE-ABUNDANCES,15,158891200,28432700
25,26,UPDATE-ABUNDANCES,15,188785900,33260900
26,26,UPDATE-ABUNDANCES,15,189201600,28092800
28,28,UPDATE-ABUNDANCES,15,213256200,30700600
27,28,UPDATE-ABUNDANCES,15,480887900,29495900
29,30,UPDATE-ABUNDANCES,15,216779800,37229300
30,30,UPDATE-ABUNDANCES,15,441884300,36455000
31,32,UPDATE-ABUNDANCES,15,519642000,303360300
32,32,UPDATE-ABUNDANCES,15,261512100,32283800
33,34,UPDATE-ABUNDANCES,15,611971200,46151000
34,34,UPDATE-ABUNDANCES,15,506883100,45594000
35,36,UPDATE-ABUNDANCES,15,637415900,33947500
36,36,UPDATE-ABUNDANCES,15,259806800,34665400
37,38,UPDATE-ABUNDANCES,15,415933300,29010300
38,38,UPDATE-ABUNDANCES,15,720208900,33889700
40,40,UPDATE-ABUNDANCES,15,3227780700,41014100
39,40,UPDATE-ABUNDANCES,15,1349188300,529775300
2,2,GET-DNORM-LOOKUP,15,8488800,6068200
1,2,GET-DNORM-LOOKUP,15,4805600,3232500
3,4,GET-DNORM-LOOKUP,15,9245900,5673000
4,4,GET-DNORM-LOOKUP,15,7962600,5317000
5,6,GET-DNORM-LOOKUP,15,8269500,5812900
6,6,GET-DNORM-LOOKUP,15,5119500,2070100
8,8,GET-DNORM-LOOKUP,15,6579700,4296400
7,8,GET-DNORM-LOOKUP,15,6925400,4218500
9,10,GET-DNORM-LOOKUP,15,6082600,4108800
10,10,GET-DNORM-LOOKUP,15,7490700,4754800
12,12,GET-DNORM-LOOKUP,15,8681900,5558500
11,12,GET-DNORM-LOOKUP,15,6203700,4293500
13,14,GET-DNORM-LOOKUP,15,1898000,941400
14,14,GET-DNORM-LOOKUP,15,1534700,1005100
15,16,GET-DNORM-LOOKUP,15,3741200,879400
16,16,GET-DNORM-LOOKUP,15,1864200,949200
17,18,GET-DNORM-LOOKUP,15,1821300,1035000
18,18,GET-DNORM-LOOKUP,15,1760900,1007200
19,20,GET-DNORM-LOOKUP,15,1919800,1100700
20,20,GET-DNORM-LOOKUP,15,2027800,986500
21,22,GET-DNORM-LOOKUP,15,1960400,1174400
22,22,GET-DNORM-LOOKUP,15,1547600,956800
23,24,GET-DNORM-LOOKUP,15,1745000,1059100
24,24,GET-DNORM-LOOKUP,15,1529300,952900
25,26,GET-DNORM-LOOKUP,15,1535200,992700
26,26,GET-DNORM-LOOKUP,15,1646800,1077000
28,28,GET-DNORM-LOOKUP,15,1532200,945500
27,28,GET-DNORM-LOOKUP,15,1440500,902900
29,30,GET-DNORM-LOOKUP,15,1654000,1072500
30,30,GET-DNORM-LOOKUP,15,1419900,894700
31,32,GET-DNORM-LOOKUP,15,1395600,894300
32,32,GET-DNORM-LOOKUP,15,1424900,901500
33,34,GET-DNORM-LOOKUP,15,1332700,814000
34,34,GET-DNORM-LOOKUP,15,1197900,726900
35,36,GET-DNORM-LOOKUP,15,1287100,770100
36,36,GET-DNORM-LOOKUP,15,1178100,708500
37,38,GET-DNORM-LOOKUP,15,1109000,685200
38,38,GET-DNORM-LOOKUP,15,1114900,703500
40,40,GET-DNORM-LOOKUP,15,1132100,696000
39,40,GET-DNORM-LOOKUP,15,1012000,589800
2,2,EDGE-EFFECT,19695,19040200,19040200
1,2,EDGE-EFFECT,19695,15511400,15511400
3,4,EDGE-EFFECT,39390,25891200,25891200
4,4,EDGE-EFFECT,39390,27489300,27489300
5,6,EDGE-EFFECT,58110,39557200,39557200
6,6,EDGE-EFFECT,58110,18241300,18241300
8,8,EDGE-EFFECT,76140,19879400,19879400
7,8,EDGE-EFFECT,76140,38460900,38460900
9,10,EDGE-EFFECT,96585,23485300,23485300
10,10,EDGE-EFFECT,96585,43229100,43229100
12,12,EDGE-EFFECT,114180,50359600,50359600
11,12,EDGE-EFFECT,114180,64391000,64391000
13,14,EDGE-EFFECT,133230,35343300,35343300
