[run number],ground-weeds?,world-area,patch-grain,[step],BA-by-species,age-by-species,dbh-by-species,hgt-by-species,abundances,siminputrow
1,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[193 74 250 14 55 113 286 68],[0.13 0.111 0.129 0.084 0.136 0.183 0.12 0.252],[7.708 6.249 7.799 3.608 5.067 7.168 2.846 7.5],[62 178 83 1 130 22 112 8],1
1,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[293 137 350 0 78 201 386 0],[0.218 0.142 0.196 0 0.195 0.248 0.135 0],[11.541 7.132 10.58 0 6.167 8.689 3.227 0],[68 230 106 0 79 25 116 0],1
1,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[255 118 296 0 41 301 204 0],[0.164 0.116 0.168 0 0.119 0.358 0.157 0],[9.13 6.25 9.28 0 4.683 11.408 2.606 0],[76 203 92 0 82 12 87 0],1
1,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[245 125 253 0 59 401 173 0],[0.181 0.129 0.193 0 0.14 0.516 0.158 0],[10.088 6.694 10.63 0 5.163 15.421 3.054 0],[81 272 100 0 66 9 115 0],1
1,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[281 88 242 0 69 319 273 0],[0.168 0.099 0.163 0 0.124 0.296 0.145 0],[9.241 5.697 9.142 0 4.711 9.515 2.839 0],[79 154 109 0 94 8 117 0],1
1,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[271 131 299 0 55 419 161 0],[0.138 0.091 0.184 0 0.107 0.416 0.114 0],[7.91 5.349 9.837 0 4.352 11.818 2.48 0],[58 150 56 0 54 5 63 0],1
1,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[371 122 281 0 58 260 169 0],[0.173 0.142 0.18 0 0.152 0.241 0.141 0],[9.637 7.111 9.882 0 5.516 8.209 2.993 0],[90 278 81 0 69 5 119 0],1
1,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[215 135 255 0 69 360 236 0],[0.229 0.141 0.198 0 0.174 0.741 0.164 0],[11.956 7.045 10.668 0 5.977 20.076 3.182 0],[124 227 115 0 39 2 124 0],1
1,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[278 131 198 0 43 0 263 0],[0.12 0.096 0.148 0 0.143 0 0.138 0],[7.086 5.657 8.479 0 5.299 0 2.668 0],[86 127 50 0 50 0 109 0],1
1,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[248 76 141 0 43 0 148 0],[0.125 0.111 0.112 0 0.145 0 0.118 0],[7.629 6.27 7.085 0 5.433 0 2.783 0],[83 182 66 0 67 0 160 0],1
2,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[203 98 486 0 85 125 217 115],[0.2 0.126 0.162 0 0.142 0.198 0.108 0.313],[10.451 6.548 9.059 0 5.244 7.609 3.1 7.831],[100 77 134 0 120 45 104 9],1
2,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[282 56 317 0 46 225 315 0],[0.169 0.107 0.2 0 0.125 0.252 0.151 0],[9.3 6.057 10.499 0 4.905 8.83 2.721 0],[138 55 116 0 45 45 122 0],1
