TF_ID,Site,Measurement_Interval_yr,Height_Pre_m,Height_Post_m,Growth_Rate_cmyr
1,Kauaeranga,3,2.35,2.5,5
3,Kauaeranga,3,2.75,2.75,0
4,Kauaeranga,3,2.25,2.25,0
5,Kauaeranga,3,1.5,1.5,0
7,Kauaeranga,3,2.9,3,3.333333333
8,Kauaeranga,3,2.6,2.75,5
9,Kauaeranga,3,2.2,2.5,10
10,Kauaeranga,3,2.7,2.8,3.333333333
11,Kauaeranga,3,6,6.4,13.33333333
12,Kauaeranga,3,4,4.5,16.66666667
13,Kauaeranga,33,3.1,3.5,1.212121212
14,Kauaeranga,33,1.7,3.6,5.757575758
17,Kauaeranga,33,3.2,4.16,2.909090909
18,Kauaeranga,33,3.5,4,1.515151515
19,Kauaeranga,33,6,6.24,0.727272727
20,Kauaeranga,3,2.3,2.3,0
21,Kauaeranga,3,1.85,2.1,8.333333333
22,Kauaeranga,3,1,1,0
24,Kauaeranga,3,1.5,1.5,0
26,Kauaeranga,3,1.4,2,20
27,Kauaeranga,33,4.5,5.1,1.818181818
28,Kauaeranga,33,1,1.64,1.939393939
29,Kauaeranga,33,1.2,2.56,4.121212121
30,Kauaeranga,3,3,3,0
31,Kauaeranga,33,2.5,4.1,4.848484848
32,Kauaeranga,33,4,5,3.03030303
33,Kauaeranga,33,3.2,4,2.424242424
34,Kauaeranga,3,2.3,2.5,6.666666667
35,Kauaeranga,33,1.3,4.7,10.3030303
36,Kauaeranga,33,2.2,2.6,1.212121212
37,Kauaeranga,3,4.5,5,16.66666667
38,Kauaeranga,3,2.35,2.5,5
41,Kauaeranga,3,3,3.5,16.66666667
42,Kauaeranga,3,1.6,1.8,6.666666667
44,Kauaeranga,33,1.5,6.1,13.93939394
47,Kauaeranga,3,1,1.7,23.33333333
48,Kauaeranga,33,2,6,12.12121212
49,Kauaeranga,3,2.5,3,16.66666667
50,Kauaeranga,3,3.5,4,16.66666667
51,Kauaeranga,3,1.6,2,13.33333333
52,Kauaeranga,3,1.6,1.75,5
53,Kauaeranga,33,1.5,2.7,3.636363636
54,Kauaeranga,27,8,9,3.703703704
55,Kauaeranga,27,1.36,3.75,8.851851852
56,Kauaeranga,27,1.75,2.6,3.148148148
57,Kauaeranga,27,1.1,2.16,3.925925926
58,Kauaeranga,27,9,10,3.703703704
59,Kauaeranga,27,1.38,2.4,3.777777778
60,Kauaeranga,27,2,3.3,4.814814815
