"","Height","Increment","Data"
"1",0,0.046153846,2
"2",0,0,2
"3",0,0,2
"4",0,0,2
"5",0,0,2
"6",0,0.069230769,2
"7",0,0,2
"8",0,0,2
"9",0.3,0,2
"10",0.35,0,2
"11",0.38,0.003076923,2
"12",0.45,0.159722222,1
"13",0.5,0.030555556,1
"14",0.5,0,2
"15",0.5,0.009230769,2
"16",0.6,0,2
"17",0.65,0,2
"18",0.7,0.061111111,1
"19",0.8,0.015384615,2
"20",0.8,0.026153846,2
"21",0.82,0.043076923,2
"22",0.85,0.030769231,2
"23",0.85,0.02,2
"24",0.9,0,2
"25",0.9,0.009230769,2
"26",0.9,0.023076923,2
"27",0.9,0.015384615,2
"28",0.95,0.018461538,2
"29",1,0,1
"30",1,0.046666667,1
"31",1,0.233333333,1
"32",1,0.034193548,1
"33",1,0.093548387,1
"34",1,0.125806452,1
"35",1,0.167741935,1
"36",1,0.217741935,1
"37",1,0.241935484,1
"38",1,0.133333333,1
"39",1,0,2
"40",1.1,0.039259259,1
"41",1.1,0.042903226,1
"42",1.14,0.016666667,1
"43",1.16,0.006153846,2
"44",1.18,0.018461538,2
"45",1.2,0.033333333,1
"46",1.2,0.05483871,1
"47",1.2,0.016923077,2
"48",1.2,0.023076923,2
"49",1.25,0.015384615,2
"50",1.3,0.233333333,1
"51",1.3,0.042,1
"52",1.3,0.055555556,1
"53",1.3,0.025,1
"54",1.3,0,2
"55",1.35,0.026923077,2
"56",1.36,0.088518519,1
"57",1.38,0.037777778,1
"58",1.4,0.2,1
"59",1.4,0.049354839,1
"60",1.4,0.032307692,2
"61",1.405,0.03,2
"62",1.47,0.052307692,2
"63",1.5,0,1
"64",1.5,0,1
"65",1.5,0.666666667,1
"66",1.5,0.066666667,1
"67",1.5,0.030769231,2
"68",1.5,0.015384615,2
"69",1.525,0.006153846,2
"70",1.545,0.035384615,2
"71",1.55,0.021538462,2
"72",1.55,0.030769231,2
"73",1.55,0.011538462,2
"74",1.6,0.066666667,1
"75",1.6,0.133333333,1
"76",1.6,0.05,1
"77",1.6,0.048387097,1
"78",1.6,0.05483871,1
"79",1.6,0,2
"80",1.6,0.019230769,2
"81",1.625,0.02,2
"82",1.65,0.038461538,2
"83",1.65,0.030769231,2
"84",1.65,0,2
"85",1.675,0.021538462,2
"86",1.7,0.516666667,1
"87",1.7,0.033333333,1
"88",1.75,0.031481481,1
"89",1.75,0.01,2
"90",1.8,0,2
"91",1.825,0.016923077,2
"92",1.825,0.013846154,2
"93",1.825,0.012307692,2
"94",1.825,0.003076923,2
"95",1.85,0.083333333,1
"96",1.85,0.015384615,2
"97",1.85,0.020769231,2
"98",1.9,0.046153846,2
"99",1.925,0.005384615,2
"100",1.95,0.017692308,2
"101",1.975,0.026923077,2
"102",2,0.333333333,1
"103",2,0.083333333,1
"104",2,0.048148148,1
"105",2,0.05,1
"106",2.05,0.030769231,2
"107",2.05,0.026923077,2
"108",2.05,0.076923077,2
"109",2.1,0.004615385,2
"110",2.15,0.008461538,2
"111",2.155,0.019230769,2
"112",2.2,0.1,1
"113",2.2,0.1,1
"114",2.2,0,2
"115",2.2,0.007692308,2
"116",2.25,0,1
"117",2.25,0.128,1
"118",2.25,0,2
"119",2.25,0.025384615,2
"120",2.25,0.015384615,2
"121",2.3,0,1
"122",2.3,0.066666667,1
"123",2.3,0.021538462,2
"124",2.3,0,2
"125",2.35,0.061538616,2
"126",2.35,0.053846154,2
"127",2.35,0.016923077,2
"128",2.35,0.05,1
"129",2.35,0.05,1
"130",2.35,0.009230769,2
"131",2.35,0.030769231,2
"132",2.425,0.003846154,2
"133",2.425,0.013076923,2
"134",2.45,0.015384615,2
"135",2.45,0.009230769,2
"136",2.5,0.1,1
"137",2.5,0.166666667,1
"138",2.5,0.1,1
"139",2.5,0.014666667,1
"140",2.5,0.072580645,1
"141",2.5,0.053846154,2
"142",2.525,0.019230769,2
"143",2.55,0.015384615,2
"144",2.6,0.05,1
"145",2.6,0,2
"146",2.6,0.016923077,2
"147",2.6,0.034615385,2
"148",2.6,0.023076923,2
"149",2.625,0.01,2
"150",2.63,0,2
"151",2.65,0,2
"152",2.68,0.026153846,2
"153",2.7,0.033333333,1
"154",2.7,0.016153846,2
"155",2.7,0.02,2
"156",2.7,0.038461538,2
"157",2.75,0,1
"158",2.77,0.41,1
"159",2.8,0.093333333,1
"160",2.875,0.049230769,2
"161",2.9,0.033333333,1
"162",2.95,0.033846154,2
"163",2.95,0.006923077,2
"164",3,0,1
"165",3,0.166666667,1
"166",3,0.333333333,1
"167",3,0.087096774,1
"168",3,0.007692308,2
"169",3.075,0.016923077,2
"170",3.075,0.023846154,2
"171",3.1,0.133333333,1
"172",3.1,0.020769231,2
"173",3.125,0.019230769,2
"174",3.15,0.014615385,2
"175",3.18,0.010769231,2
"176",3.2,0.026666667,1
"177",3.2,0.022222222,1
"178",3.25,0.183333333,1
"179",3.25,0.048,1
"180",3.25,0.036111111,1
"181",3.25,0.015384615,2
"182",3.25,0.018461538,2
"183",3.25,0.023076923,2
"184",3.25,0.015384615,2
"185",3.3,0.038709677,1
"186",3.3,0.009230769,2
"187",3.325,0.007692308,2
"188",3.35,0,2
"189",3.35,0.003076923,2
"190",3.35,0.008461538,2
"191",3.35,0,2
"192",3.375,0.009230769,2
"193",3.4,0.023076923,2
"194",3.45,0.023076923,2
"195",3.5,0.016666667,1
"196",3.5,0.166666667,1
"197",3.5,0.05,1
"198",3.5,0.12,1
"199",3.5,0.044444444,1
"200",3.5,0.027777778,1
"201",3.5,0.009230769,2
"202",3.5,0.038461538,2
"203",3.5,0.003076923,2
"204",3.515,0.013076923,2
"205",3.55,0.038461538,2
"206",3.55,0.016923077,2
"207",3.55,0.015384615,2
"208",3.59,0.010769231,2
"209",3.6,0.03,1
"210",3.6,0.015384615,2
"211",3.625,0.02,2
"212",3.65,0.026923077,2
"213",3.675,0.019230769,2
"214",3.7,0,2
"215",3.7,0.031538462,2
"216",3.725,0.007692308,2
"217",3.75,0.015384615,2
"218",3.75,0.021538462,2
"219",3.75,0.041538462,2
"220",3.85,0.015384615,2
"221",3.9,0.061538462,2
"222",3.92,0.02125,1
"223",3.925,0.003846154,2
"224",4,0.166666667,1
"225",4,0.033333333,1
"226",4,0.333333333,1
"227",4,0.008709677,1
"228",4,0.033548387,1
"229",4,0.04516129,1
"230",4,0.044444444,1
"231",4,0.038888889,1
"232",4,0.041666667,1
"233",4,0,2
"234",4,0.007692308,2
"235",4,0.046153846,2
"236",4.025,0.023076923,2
"237",4.2,0.031538462,2
"238",4.25,0.038461538,2
"239",4.25,0.003076923,2
"240",4.3,0.023076923,2
"241",4.3,0,2
"242",4.3,0.023076923,2
"243",4.3,0.007692308,2
"244",4.3,0.011538462,2
"245",4.4,0.030769231,2
"246",4.43,0.02125,1
"247",4.5,0.166666667,1
"248",4.5,0.015384615,2
"249",4.5,0.016923077,2
"250",4.55,0.007692308,2
"251",4.6,0.028461538,2
