procedure,calls,inclusive_time,exclusive_time
DISPERSE,8313,89040100,2265100
GET-CROWN-WIDTH-FROM-DBH,8313,2642400,2642400
GET-LIGHT-ENV,15680,2008400,2008400
GET-NHB-HEIGHT,31153,339690200,339690200
LDD-WITHIN-GRID,8313,25060600,25060600
UPDATE-ABUNDANCES,20,7552300,1326000
UPDATE-SPECIES-DBH,20,9244400,9244400
LOTTERY,512,6465300,1126700
CAPTURE-GAP,731,12842900,6085200
NHB-DISPERSAL,8313,61714400,59072000
EXTERNAL-LDD,20,3162400,2654200
DEATH,15473,11010000,11010000
RESCALELISTTOPROBS,512,3946900,2146200
UPDATE-BIOMETRY,20,45493300,284300
SELECTREPLACEMENT,512,1391700,1391700
EXPAND-GAP,119,700700,2665400
UPDATE-SPECIES-HGT,20,8704700,8704700
RESTORATION-PLANTING,3,2988800,2988800
THIN-REGENBANK,15473,1874500,1874500
REGENERATE-PATCH-BANK,15680,190843400,101355500
UPDATE-SPECIES-MEAN-AGE,20,9303000,9303000
MACROLITTERFALL,15473,2288200,2288200
GO,20,874347500,102714800
BA-PER-HA,5,778400,778400
RANDOM-BINOMIAL,376480,85031500,85031500
GROW,15473,36147100,36147100
UPDATE-SPECIES-MEAN-HGT,20,8499200,8499200
COLOUR-PATCH,16192,1716600,1716600
OCCURRENCES,160,6226300,6226300
UPDATE-SPECIES-AGE,20,9457700,9457700
MAKELISTCUMULATIVE,512,1800700,1800700
